"Long","Lat","NPP","coord"
-105.5,79.5,106,"-105.5_79.5"
-104.5,79.5,105.25,"-104.5_79.5"
-103.5,79.5,137.654922485352,"-103.5_79.5"
-102.5,79.5,122.533332824707,"-102.5_79.5"
-101.5,79.5,83.7580642700195,"-101.5_79.5"
-99.5,79.5,50,"-99.5_79.5"
-98.5,79.5,30,"-98.5_79.5"
-96.5,79.5,306.711120605469,"-96.5_79.5"
-95.5,79.5,218.994186401367,"-95.5_79.5"
-94.5,79.5,180.820251464844,"-94.5_79.5"
-93.5,79.5,159.312683105469,"-93.5_79.5"
-92.5,79.5,165.752395629883,"-92.5_79.5"
-91.5,79.5,136.111450195312,"-91.5_79.5"
-90.5,79.5,141.286499023438,"-90.5_79.5"
-89.5,79.5,128.431823730469,"-89.5_79.5"
-88.5,79.5,309.556091308594,"-88.5_79.5"
-87.5,79.5,297.149780273438,"-87.5_79.5"
-86.5,79.5,252.249847412109,"-86.5_79.5"
-85.5,79.5,352.952941894531,"-85.5_79.5"
-84.5,79.5,461.231750488281,"-84.5_79.5"
-83.5,79.5,464.135711669922,"-83.5_79.5"
-82.5,79.5,302.557952880859,"-82.5_79.5"
-81.5,79.5,249.617950439453,"-81.5_79.5"
-80.5,79.5,132.451278686523,"-80.5_79.5"
-79.5,79.5,79.6972808837891,"-79.5_79.5"
-78.5,79.5,67.671257019043,"-78.5_79.5"
-77.5,79.5,81.1252593994141,"-77.5_79.5"
-76.5,79.5,104.771781921387,"-76.5_79.5"
-75.5,79.5,123.654121398926,"-75.5_79.5"
-74.5,79.5,92.1241683959961,"-74.5_79.5"
-73.5,79.5,93.0238876342773,"-73.5_79.5"
-72.5,79.5,83.4538269042969,"-72.5_79.5"
-71.5,79.5,84.2770462036133,"-71.5_79.5"
-70.5,79.5,56.538459777832,"-70.5_79.5"
-68.5,79.5,90.5555572509766,"-68.5_79.5"
-67.5,79.5,142.584014892578,"-67.5_79.5"
-66.5,79.5,149.592163085938,"-66.5_79.5"
-65.5,79.5,148.774200439453,"-65.5_79.5"
-64.5,79.5,48,"-64.5_79.5"
-63.5,79.5,56,"-63.5_79.5"
-62.5,79.5,87,"-62.5_79.5"
-61.5,79.5,62.1764717102051,"-61.5_79.5"
-24.5,79.5,30.2000007629395,"-24.5_79.5"
-23.5,79.5,23.3166217803955,"-23.5_79.5"
-22.5,79.5,15.5701217651367,"-22.5_79.5"
-21.5,79.5,13.7345457077026,"-21.5_79.5"
-20.5,79.5,39.445671081543,"-20.5_79.5"
-19.5,79.5,17.9690723419189,"-19.5_79.5"
-18.5,79.5,0.947368443012238,"-18.5_79.5"
10.5,79.5,295.590423583984,"10.5_79.5"
11.5,79.5,187.534729003906,"11.5_79.5"
12.5,79.5,92.8919830322266,"12.5_79.5"
13.5,79.5,119.194480895996,"13.5_79.5"
14.5,79.5,78.4412384033203,"14.5_79.5"
15.5,79.5,105.736274719238,"15.5_79.5"
16.5,79.5,132.478088378906,"16.5_79.5"
17.5,79.5,45.8978118896484,"17.5_79.5"
18.5,79.5,73.5063323974609,"18.5_79.5"
19.5,79.5,108.77400970459,"19.5_79.5"
20.5,79.5,103.922294616699,"20.5_79.5"
21.5,79.5,84.1953125,"21.5_79.5"
22.5,79.5,93.8684234619141,"22.5_79.5"
49.5,79.5,207.5,"49.5_79.5"
50.5,79.5,123,"50.5_79.5"
58.5,79.5,0,"58.5_79.5"
