sites,Long,Lat
-70.5_-55.5,-70.5,-55.5
-69.5_-55.5,-69.5,-55.5
-68.5_-55.5,-68.5,-55.5
-67.5_-55.5,-67.5,-55.5
-72.5_-54.5,-72.5,-54.5
-71.5_-54.5,-71.5,-54.5
-70.5_-54.5,-70.5,-54.5
-69.5_-54.5,-69.5,-54.5
-68.5_-54.5,-68.5,-54.5
-67.5_-54.5,-67.5,-54.5
-66.5_-54.5,-66.5,-54.5
-65.5_-54.5,-65.5,-54.5
-64.5_-54.5,-64.5,-54.5
-74.5_-53.5,-74.5,-53.5
-73.5_-53.5,-73.5,-53.5
-72.5_-53.5,-72.5,-53.5
-71.5_-53.5,-71.5,-53.5
-70.5_-53.5,-70.5,-53.5
-69.5_-53.5,-69.5,-53.5
-68.5_-53.5,-68.5,-53.5
-67.5_-53.5,-67.5,-53.5
-74.5_-52.5,-74.5,-52.5
-73.5_-52.5,-73.5,-52.5
-72.5_-52.5,-72.5,-52.5
-71.5_-52.5,-71.5,-52.5
-70.5_-52.5,-70.5,-52.5
-69.5_-52.5,-69.5,-52.5
-68.5_-52.5,-68.5,-52.5
-60.5_-52.5,-60.5,-52.5
-59.5_-52.5,-59.5,-52.5
-58.5_-52.5,-58.5,-52.5
-74.5_-51.5,-74.5,-51.5
-73.5_-51.5,-73.5,-51.5
-72.5_-51.5,-72.5,-51.5
-71.5_-51.5,-71.5,-51.5
-70.5_-51.5,-70.5,-51.5
-69.5_-51.5,-69.5,-51.5
-68.5_-51.5,-68.5,-51.5
-61.5_-51.5,-61.5,-51.5
-60.5_-51.5,-60.5,-51.5
-59.5_-51.5,-59.5,-51.5
-58.5_-51.5,-58.5,-51.5
-57.5_-51.5,-57.5,-51.5
-74.5_-50.5,-74.5,-50.5
-73.5_-50.5,-73.5,-50.5
-72.5_-50.5,-72.5,-50.5
-71.5_-50.5,-71.5,-50.5
-70.5_-50.5,-70.5,-50.5
-69.5_-50.5,-69.5,-50.5
-68.5_-50.5,-68.5,-50.5
-75.5_-49.5,-75.5,-49.5
-74.5_-49.5,-74.5,-49.5
-73.5_-49.5,-73.5,-49.5
-72.5_-49.5,-72.5,-49.5
-71.5_-49.5,-71.5,-49.5
-70.5_-49.5,-70.5,-49.5
-69.5_-49.5,-69.5,-49.5
-68.5_-49.5,-68.5,-49.5
-67.5_-49.5,-67.5,-49.5
-75.5_-48.5,-75.5,-48.5
-74.5_-48.5,-74.5,-48.5
-73.5_-48.5,-73.5,-48.5
-72.5_-48.5,-72.5,-48.5
-71.5_-48.5,-71.5,-48.5
-70.5_-48.5,-70.5,-48.5
-69.5_-48.5,-69.5,-48.5
-68.5_-48.5,-68.5,-48.5
-67.5_-48.5,-67.5,-48.5
-66.5_-48.5,-66.5,-48.5
-74.5_-47.5,-74.5,-47.5
-73.5_-47.5,-73.5,-47.5
-72.5_-47.5,-72.5,-47.5
-71.5_-47.5,-71.5,-47.5
-70.5_-47.5,-70.5,-47.5
-69.5_-47.5,-69.5,-47.5
-68.5_-47.5,-68.5,-47.5
-67.5_-47.5,-67.5,-47.5
-66.5_-47.5,-66.5,-47.5
-65.5_-47.5,-65.5,-47.5
167.5_-47.5,167.5,-47.5
168.5_-47.5,168.5,-47.5
-75.5_-46.5,-75.5,-46.5
-74.5_-46.5,-74.5,-46.5
-73.5_-46.5,-73.5,-46.5
-72.5_-46.5,-72.5,-46.5
-71.5_-46.5,-71.5,-46.5
-70.5_-46.5,-70.5,-46.5
-69.5_-46.5,-69.5,-46.5
-68.5_-46.5,-68.5,-46.5
-67.5_-46.5,-67.5,-46.5
167.5_-46.5,167.5,-46.5
168.5_-46.5,168.5,-46.5
-74.5_-45.5,-74.5,-45.5
-73.5_-45.5,-73.5,-45.5
-72.5_-45.5,-72.5,-45.5
-71.5_-45.5,-71.5,-45.5
-70.5_-45.5,-70.5,-45.5
-69.5_-45.5,-69.5,-45.5
-68.5_-45.5,-68.5,-45.5
-67.5_-45.5,-67.5,-45.5
-66.5_-45.5,-66.5,-45.5
-65.5_-45.5,-65.5,-45.5
166.5_-45.5,166.5,-45.5
167.5_-45.5,167.5,-45.5
168.5_-45.5,168.5,-45.5
-74.5_-44.5,-74.5,-44.5
-73.5_-44.5,-73.5,-44.5
-72.5_-44.5,-72.5,-44.5
-71.5_-44.5,-71.5,-44.5
-70.5_-44.5,-70.5,-44.5
-69.5_-44.5,-69.5,-44.5
-68.5_-44.5,-68.5,-44.5
-67.5_-44.5,-67.5,-44.5
-66.5_-44.5,-66.5,-44.5
-65.5_-44.5,-65.5,-44.5
167.5_-44.5,167.5,-44.5
168.5_-44.5,168.5,-44.5
169.5_-44.5,169.5,-44.5
170.5_-44.5,170.5,-44.5
171.5_-44.5,171.5,-44.5
-74.5_-43.5,-74.5,-43.5
-73.5_-43.5,-73.5,-43.5
-72.5_-43.5,-72.5,-43.5
-71.5_-43.5,-71.5,-43.5
-70.5_-43.5,-70.5,-43.5
-69.5_-43.5,-69.5,-43.5
-68.5_-43.5,-68.5,-43.5
-67.5_-43.5,-67.5,-43.5
-66.5_-43.5,-66.5,-43.5
-65.5_-43.5,-65.5,-43.5
-64.5_-43.5,-64.5,-43.5
145.5_-43.5,145.5,-43.5
146.5_-43.5,146.5,-43.5
147.5_-43.5,147.5,-43.5
168.5_-43.5,168.5,-43.5
169.5_-43.5,169.5,-43.5
170.5_-43.5,170.5,-43.5
171.5_-43.5,171.5,-43.5
-74.5_-42.5,-74.5,-42.5
-73.5_-42.5,-73.5,-42.5
-72.5_-42.5,-72.5,-42.5
-71.5_-42.5,-71.5,-42.5
-70.5_-42.5,-70.5,-42.5
-69.5_-42.5,-69.5,-42.5
-68.5_-42.5,-68.5,-42.5
-67.5_-42.5,-67.5,-42.5
-66.5_-42.5,-66.5,-42.5
-65.5_-42.5,-65.5,-42.5
-64.5_-42.5,-64.5,-42.5
-63.5_-42.5,-63.5,-42.5
145.5_-42.5,145.5,-42.5
146.5_-42.5,146.5,-42.5
147.5_-42.5,147.5,-42.5
148.5_-42.5,148.5,-42.5
170.5_-42.5,170.5,-42.5
171.5_-42.5,171.5,-42.5
172.5_-42.5,172.5,-42.5
-73.5_-41.5,-73.5,-41.5
-72.5_-41.5,-72.5,-41.5
-71.5_-41.5,-71.5,-41.5
-70.5_-41.5,-70.5,-41.5
-69.5_-41.5,-69.5,-41.5
-68.5_-41.5,-68.5,-41.5
-67.5_-41.5,-67.5,-41.5
-66.5_-41.5,-66.5,-41.5
-65.5_-41.5,-65.5,-41.5
-64.5_-41.5,-64.5,-41.5
-63.5_-41.5,-63.5,-41.5
-62.5_-41.5,-62.5,-41.5
144.5_-41.5,144.5,-41.5
145.5_-41.5,145.5,-41.5
146.5_-41.5,146.5,-41.5
147.5_-41.5,147.5,-41.5
148.5_-41.5,148.5,-41.5
171.5_-41.5,171.5,-41.5
172.5_-41.5,172.5,-41.5
175.5_-41.5,175.5,-41.5
-73.5_-40.5,-73.5,-40.5
-72.5_-40.5,-72.5,-40.5
-71.5_-40.5,-71.5,-40.5
-70.5_-40.5,-70.5,-40.5
-69.5_-40.5,-69.5,-40.5
-68.5_-40.5,-68.5,-40.5
-67.5_-40.5,-67.5,-40.5
-66.5_-40.5,-66.5,-40.5
-65.5_-40.5,-65.5,-40.5
-64.5_-40.5,-64.5,-40.5
-63.5_-40.5,-63.5,-40.5
-62.5_-40.5,-62.5,-40.5
143.5_-40.5,143.5,-40.5
144.5_-40.5,144.5,-40.5
145.5_-40.5,145.5,-40.5
147.5_-40.5,147.5,-40.5
148.5_-40.5,148.5,-40.5
172.5_-40.5,172.5,-40.5
173.5_-40.5,173.5,-40.5
174.5_-40.5,174.5,-40.5
175.5_-40.5,175.5,-40.5
176.5_-40.5,176.5,-40.5
-73.5_-39.5,-73.5,-39.5
-72.5_-39.5,-72.5,-39.5
-71.5_-39.5,-71.5,-39.5
-70.5_-39.5,-70.5,-39.5
-69.5_-39.5,-69.5,-39.5
-68.5_-39.5,-68.5,-39.5
-67.5_-39.5,-67.5,-39.5
-66.5_-39.5,-66.5,-39.5
-65.5_-39.5,-65.5,-39.5
-64.5_-39.5,-64.5,-39.5
-63.5_-39.5,-63.5,-39.5
-62.5_-39.5,-62.5,-39.5
-61.5_-39.5,-61.5,-39.5
143.5_-39.5,143.5,-39.5
144.5_-39.5,144.5,-39.5
146.5_-39.5,146.5,-39.5
147.5_-39.5,147.5,-39.5
148.5_-39.5,148.5,-39.5
174.5_-39.5,174.5,-39.5
175.5_-39.5,175.5,-39.5
176.5_-39.5,176.5,-39.5
177.5_-39.5,177.5,-39.5
-73.5_-38.5,-73.5,-38.5
-72.5_-38.5,-72.5,-38.5
-71.5_-38.5,-71.5,-38.5
-70.5_-38.5,-70.5,-38.5
-69.5_-38.5,-69.5,-38.5
-68.5_-38.5,-68.5,-38.5
-67.5_-38.5,-67.5,-38.5
-66.5_-38.5,-66.5,-38.5
-65.5_-38.5,-65.5,-38.5
-64.5_-38.5,-64.5,-38.5
-63.5_-38.5,-63.5,-38.5
-62.5_-38.5,-62.5,-38.5
-61.5_-38.5,-61.5,-38.5
-60.5_-38.5,-60.5,-38.5
-59.5_-38.5,-59.5,-38.5
-58.5_-38.5,-58.5,-38.5
-57.5_-38.5,-57.5,-38.5
140.5_-38.5,140.5,-38.5
141.5_-38.5,141.5,-38.5
142.5_-38.5,142.5,-38.5
143.5_-38.5,143.5,-38.5
144.5_-38.5,144.5,-38.5
145.5_-38.5,145.5,-38.5
146.5_-38.5,146.5,-38.5
147.5_-38.5,147.5,-38.5
174.5_-38.5,174.5,-38.5
175.5_-38.5,175.5,-38.5
176.5_-38.5,176.5,-38.5
177.5_-38.5,177.5,-38.5
178.5_-38.5,178.5,-38.5
