"","lon","lat","coord","cover","Region","Realm"
"12350",-70.5,-55.5,"-70.5_-55.5",0.1,"South American","Neotropical"
"12351",-69.5,-55.5,"-69.5_-55.5",0.28,"South American","Neotropical"
"12352",-68.5,-55.5,"-68.5_-55.5",0.32,"South American","Neotropical"
"12353",-67.5,-55.5,"-67.5_-55.5",0.41,"South American","Neotropical"
"12354",-66.5,-55.5,"-66.5_-55.5",0.08,"South American","Neotropical"
"12707",-73.5,-54.5,"-73.5_-54.5",0.03,"South American","Neotropical"
"12708",-72.5,-54.5,"-72.5_-54.5",0.15,"South American","Neotropical"
"12709",-71.5,-54.5,"-71.5_-54.5",0.45,"South American","Neotropical"
"12710",-70.5,-54.5,"-70.5_-54.5",0.6,"South American","Neotropical"
"12711",-69.5,-54.5,"-69.5_-54.5",0.9,"South American","Neotropical"
"12712",-68.5,-54.5,"-68.5_-54.5",1,"South American","Neotropical"
"12713",-67.5,-54.5,"-67.5_-54.5",0.94,"South American","Neotropical"
"12714",-66.5,-54.5,"-66.5_-54.5",0.55,"South American","Neotropical"
"12715",-65.5,-54.5,"-65.5_-54.5",0.21,"South American","Neotropical"
"12716",-64.5,-54.5,"-64.5_-54.5",0.06,"South American","Neotropical"
"12743",-37.5,-54.5,"-37.5_-54.5",0.16,"South American","Neotropical"
"12744",-36.5,-54.5,"-36.5_-54.5",0.31,"South American","Neotropical"
"12745",-35.5,-54.5,"-35.5_-54.5",0.04,"South American","Neotropical"
"13066",-74.5,-53.5,"-74.5_-53.5",0.06,"South American","Neotropical"
"13067",-73.5,-53.5,"-73.5_-53.5",0.39,"South American","Neotropical"
"13068",-72.5,-53.5,"-72.5_-53.5",0.66,"South American","Neotropical"
"13069",-71.5,-53.5,"-71.5_-53.5",0.77,"South American","Neotropical"
"13070",-70.5,-53.5,"-70.5_-53.5",0.42,"South American","Neotropical"
"13071",-69.5,-53.5,"-69.5_-53.5",0.82,"South American","Neotropical"
"13072",-68.5,-53.5,"-68.5_-53.5",0.85,"South American","Neotropical"
"13073",-67.5,-53.5,"-67.5_-53.5",0.1,"South American","Neotropical"
"13426",-74.5,-52.5,"-74.5_-52.5",0.23,"South American","Neotropical"
"13427",-73.5,-52.5,"-73.5_-52.5",0.67,"South American","Neotropical"
"13428",-72.5,-52.5,"-72.5_-52.5",0.79,"South American","Neotropical"
"13429",-71.5,-52.5,"-71.5_-52.5",0.84,"South American","Neotropical"
"13430",-70.5,-52.5,"-70.5_-52.5",0.78,"South American","Neotropical"
"13431",-69.5,-52.5,"-69.5_-52.5",0.67,"South American","Neotropical"
"13432",-68.5,-52.5,"-68.5_-52.5",0.31,"South American","Neotropical"
"13440",-60.5,-52.5,"-60.5_-52.5",0.08,"South American","Neotropical"
"13441",-59.5,-52.5,"-59.5_-52.5",0.12,"South American","Neotropical"
"13442",-58.5,-52.5,"-58.5_-52.5",0.01,"South American","Neotropical"
"13670",169.5,-52.5,"169.5_-52.5",0.03,"Eurasian","Palaearctic"
"13785",-75.5,-51.5,"-75.5_-51.5",0.1,"South American","Neotropical"
"13786",-74.5,-51.5,"-74.5_-51.5",0.47,"South American","Neotropical"
"13787",-73.5,-51.5,"-73.5_-51.5",0.83,"South American","Neotropical"
"13788",-72.5,-51.5,"-72.5_-51.5",0.87,"South American","Neotropical"
"13789",-71.5,-51.5,"-71.5_-51.5",1,"South American","Neotropical"
"13790",-70.5,-51.5,"-70.5_-51.5",1,"South American","Neotropical"
"13791",-69.5,-51.5,"-69.5_-51.5",0.94,"South American","Neotropical"
"13792",-68.5,-51.5,"-68.5_-51.5",0.05,"South American","Neotropical"
"13799",-61.5,-51.5,"-61.5_-51.5",0.06,"South American","Neotropical"
"13800",-60.5,-51.5,"-60.5_-51.5",0.34,"South American","Neotropical"
"13801",-59.5,-51.5,"-59.5_-51.5",0.45,"South American","Neotropical"
